queue_index,dataset_record,method,seed
1,covtype_full,proposed,7
2,covtype_full,proposed,13
3,covtype_full,proposed,19
4,covtype_full,proposed,23
5,covtype_full,proposed,31
6,covtype_full,proposed,37
7,covtype_full,proposed,41
8,covtype_full,proposed,43
9,covtype_full,proposed,47
10,covtype_full,proposed,53
11,covtype_full,fixed_low_rank,7
12,covtype_full,fixed_low_rank,13
13,covtype_full,fixed_low_rank,19
14,covtype_full,fixed_low_rank,23
15,covtype_full,fixed_low_rank,31
16,covtype_full,fixed_low_rank,37
17,covtype_full,fixed_low_rank,41
18,covtype_full,fixed_low_rank,43
19,covtype_full,fixed_low_rank,47
20,covtype_full,fixed_low_rank,53
21,covtype_full,clustream,7
22,covtype_full,clustream,13
23,covtype_full,clustream,19
24,covtype_full,clustream,23
25,covtype_full,clustream,31
26,covtype_full,clustream,37
27,covtype_full,clustream,41
28,covtype_full,clustream,43
29,covtype_full,clustream,47
30,covtype_full,clustream,53
31,covtype_full,denstream,7
32,covtype_full,denstream,13
33,covtype_full,denstream,19
34,covtype_full,denstream,23
35,covtype_full,denstream,31
36,covtype_full,denstream,37
37,covtype_full,denstream,41
38,covtype_full,denstream,43
39,covtype_full,denstream,47
40,covtype_full,denstream,53
41,covtype_full,streamkmpp,7
42,covtype_full,streamkmpp,13
43,covtype_full,streamkmpp,19
44,covtype_full,streamkmpp,23
45,covtype_full,streamkmpp,31
46,covtype_full,streamkmpp,37
47,covtype_full,streamkmpp,41
48,covtype_full,streamkmpp,43
49,covtype_full,streamkmpp,47
50,covtype_full,streamkmpp,53
51,electricity_full,proposed,7
52,electricity_full,proposed,13
53,electricity_full,proposed,19
54,electricity_full,proposed,23
55,electricity_full,proposed,31
56,electricity_full,proposed,37
57,electricity_full,proposed,41
58,electricity_full,proposed,43
59,electricity_full,proposed,47
60,electricity_full,proposed,53
61,electricity_full,fixed_low_rank,7
62,electricity_full,fixed_low_rank,13
63,electricity_full,fixed_low_rank,19
64,electricity_full,fixed_low_rank,23
65,electricity_full,fixed_low_rank,31
66,electricity_full,fixed_low_rank,37
67,electricity_full,fixed_low_rank,41
68,electricity_full,fixed_low_rank,43
69,electricity_full,fixed_low_rank,47
70,electricity_full,fixed_low_rank,53
71,electricity_full,clustream,7
72,electricity_full,clustream,13
73,electricity_full,clustream,19
74,electricity_full,clustream,23
75,electricity_full,clustream,31
76,electricity_full,clustream,37
77,electricity_full,clustream,41
78,electricity_full,clustream,43
79,electricity_full,clustream,47
80,electricity_full,clustream,53
81,electricity_full,denstream,7
82,electricity_full,denstream,13
83,electricity_full,denstream,19
84,electricity_full,denstream,23
85,electricity_full,denstream,31
86,electricity_full,denstream,37
87,electricity_full,denstream,41
88,electricity_full,denstream,43
89,electricity_full,denstream,47
90,electricity_full,denstream,53
91,electricity_full,streamkmpp,7
92,electricity_full,streamkmpp,13
93,electricity_full,streamkmpp,19
94,electricity_full,streamkmpp,23
95,electricity_full,streamkmpp,31
96,electricity_full,streamkmpp,37
97,electricity_full,streamkmpp,41
98,electricity_full,streamkmpp,43
99,electricity_full,streamkmpp,47
100,electricity_full,streamkmpp,53
101,tweeteval_full,proposed,7
102,tweeteval_full,proposed,13
103,tweeteval_full,proposed,19
104,tweeteval_full,proposed,23
105,tweeteval_full,proposed,31
106,tweeteval_full,proposed,37
107,tweeteval_full,proposed,41
108,tweeteval_full,proposed,43
109,tweeteval_full,proposed,47
110,tweeteval_full,proposed,53
111,tweeteval_full,fixed_low_rank,7
112,tweeteval_full,fixed_low_rank,13
113,tweeteval_full,fixed_low_rank,19
114,tweeteval_full,fixed_low_rank,23
115,tweeteval_full,fixed_low_rank,31
116,tweeteval_full,fixed_low_rank,37
117,tweeteval_full,fixed_low_rank,41
118,tweeteval_full,fixed_low_rank,43
119,tweeteval_full,fixed_low_rank,47
120,tweeteval_full,fixed_low_rank,53
121,tweeteval_full,clustream,7
122,tweeteval_full,clustream,13
123,tweeteval_full,clustream,19
124,tweeteval_full,clustream,23
125,tweeteval_full,clustream,31
126,tweeteval_full,clustream,37
127,tweeteval_full,clustream,41
128,tweeteval_full,clustream,43
129,tweeteval_full,clustream,47
130,tweeteval_full,clustream,53
131,tweeteval_full,denstream,7
132,tweeteval_full,denstream,13
133,tweeteval_full,denstream,19
134,tweeteval_full,denstream,23
135,tweeteval_full,denstream,31
136,tweeteval_full,denstream,37
137,tweeteval_full,denstream,41
138,tweeteval_full,denstream,43
139,tweeteval_full,denstream,47
140,tweeteval_full,denstream,53
141,tweeteval_full,streamkmpp,7
142,tweeteval_full,streamkmpp,13
143,tweeteval_full,streamkmpp,19
144,tweeteval_full,streamkmpp,23
145,tweeteval_full,streamkmpp,31
146,tweeteval_full,streamkmpp,37
147,tweeteval_full,streamkmpp,41
148,tweeteval_full,streamkmpp,43
149,tweeteval_full,streamkmpp,47
150,tweeteval_full,streamkmpp,53
151,synthetic_mixed_drift,proposed,7
152,synthetic_mixed_drift,proposed,13
153,synthetic_mixed_drift,proposed,19
154,synthetic_mixed_drift,proposed,23
155,synthetic_mixed_drift,proposed,31
156,synthetic_mixed_drift,proposed,37
157,synthetic_mixed_drift,proposed,41
158,synthetic_mixed_drift,proposed,43
159,synthetic_mixed_drift,proposed,47
160,synthetic_mixed_drift,proposed,53
161,synthetic_mixed_drift,fixed_low_rank,7
162,synthetic_mixed_drift,fixed_low_rank,13
163,synthetic_mixed_drift,fixed_low_rank,19
164,synthetic_mixed_drift,fixed_low_rank,23
165,synthetic_mixed_drift,fixed_low_rank,31
166,synthetic_mixed_drift,fixed_low_rank,37
167,synthetic_mixed_drift,fixed_low_rank,41
168,synthetic_mixed_drift,fixed_low_rank,43
169,synthetic_mixed_drift,fixed_low_rank,47
170,synthetic_mixed_drift,fixed_low_rank,53
171,synthetic_mixed_drift,clustream,7
172,synthetic_mixed_drift,clustream,13
173,synthetic_mixed_drift,clustream,19
174,synthetic_mixed_drift,clustream,23
175,synthetic_mixed_drift,clustream,31
176,synthetic_mixed_drift,clustream,37
177,synthetic_mixed_drift,clustream,41
178,synthetic_mixed_drift,clustream,43
179,synthetic_mixed_drift,clustream,47
180,synthetic_mixed_drift,clustream,53
181,synthetic_mixed_drift,denstream,7
182,synthetic_mixed_drift,denstream,13
183,synthetic_mixed_drift,denstream,19
184,synthetic_mixed_drift,denstream,23
185,synthetic_mixed_drift,denstream,31
186,synthetic_mixed_drift,denstream,37
187,synthetic_mixed_drift,denstream,41
188,synthetic_mixed_drift,denstream,43
189,synthetic_mixed_drift,denstream,47
190,synthetic_mixed_drift,denstream,53
191,synthetic_mixed_drift,streamkmpp,7
192,synthetic_mixed_drift,streamkmpp,13
193,synthetic_mixed_drift,streamkmpp,19
194,synthetic_mixed_drift,streamkmpp,23
195,synthetic_mixed_drift,streamkmpp,31
196,synthetic_mixed_drift,streamkmpp,37
197,synthetic_mixed_drift,streamkmpp,41
198,synthetic_mixed_drift,streamkmpp,43
199,synthetic_mixed_drift,streamkmpp,47
200,synthetic_mixed_drift,streamkmpp,53
